flightNumber,airlineName,flightCode,departureAirportCode,arrivalAirportCode,departureTime,arrivalTime,durationMinutes,price
268,Swiss,SW644,GAR,GMB,2025-06-05 08:04:35,2025-06-05 10:41:35,157,338.18
269,Alitalia,AL258,ZHQ,BZM,2025-05-27 04:54:56,2025-05-27 07:04:56,130,115.97
270,Swiss,SW729,UYO,LVN,2025-06-13 05:22:44,2025-06-13 06:26:44,64,134.23
271,Iberia,IB557,CRF,JRO,2025-06-08 16:30:54,2025-06-08 20:03:54,213,285.21
272,Iberia,IB511,LOD,VXZ,2025-05-25 09:19:48,2025-05-25 12:11:48,172,132.02
273,Lufthansa,LU615,CRF,FWF,2025-07-06 13:31:16,2025-07-06 15:45:16,134,131.96
274,Alitalia,AL342,LZX,RGJ,2025-06-16 04:07:50,2025-06-16 06:24:50,137,356.69
275,Swiss,SW407,OEY,UFU,2025-06-06 18:52:32,2025-06-06 21:02:32,130,71.34
276,Swiss,SW669,XDG,DPV,2025-07-06 06:15:48,2025-07-06 09:21:48,186,66.41
277,Alitalia,AL813,VXZ,VWQ,2025-07-03 06:43:13,2025-07-03 09:29:13,166,192.89
278,Lufthansa,LU872,QQW,FEJ,2025-06-02 04:07:14,2025-06-02 07:24:14,197,215.73
279,Lufthansa,LU925,WGE,WZR,2025-07-08 22:59:26,2025-07-09 01:57:26,178,370.16
280,Swiss,SW670,HBL,KVO,2025-05-25 20:48:59,2025-05-26 00:03:59,195,96.93
281,KLM,KL438,WAF,XFT,2025-07-03 18:34:49,2025-07-03 22:19:49,225,77.67
282,Air France,AI648,OEY,ZID,2025-06-25 12:31:01,2025-06-25 14:19:01,108,68.04
283,Air France,AI292,ZHQ,KII,2025-07-15 08:39:02,2025-07-15 12:09:02,210,303.51
284,TAP Air Portugal,TA313,DKP,UYO,2025-07-08 00:21:42,2025-07-08 02:46:42,145,156.12
285,KLM,KL859,DPD,WAF,2025-07-05 08:25:20,2025-07-05 09:55:20,90,311.41
286,KLM,KL506,RKP,VRY,2025-07-08 18:30:41,2025-07-08 20:31:41,121,243.23
287,TAP Air Portugal,TA646,QCH,ZNA,2025-06-01 19:53:15,2025-06-01 23:39:15,226,175.74
288,TAP Air Portugal,TA577,KXQ,FEJ,2025-06-05 06:45:18,2025-06-05 08:10:18,85,330.99
289,KLM,KL479,PME,QQW,2025-06-02 21:54:00,2025-06-03 00:14:00,140,194.88
290,Lufthansa,LU116,YHV,OPD,2025-06-24 20:24:07,2025-06-24 22:30:07,126,243.66
291,Swiss,SW402,JZX,DPD,2025-05-30 23:49:02,2025-05-31 01:28:02,99,118.67
292,KLM,KL611,APR,LCE,2025-06-10 16:29:56,2025-06-10 19:49:56,200,279.11
293,TAP Air Portugal,TA840,FEJ,AGO,2025-06-18 11:48:15,2025-06-18 15:32:15,224,308.86
294,Alitalia,AL273,VYX,KEE,2025-06-08 10:43:17,2025-06-08 12:18:17,95,302.11
295,Iberia,IB636,NDT,UYO,2025-06-07 05:55:14,2025-06-07 07:03:14,68,343.67
296,Iberia,IB522,PBT,WZR,2025-07-10 07:12:35,2025-07-10 08:47:35,95,344.89
297,Lufthansa,LU109,FAH,TXN,2025-06-17 09:24:55,2025-06-17 11:19:55,115,227.01
298,TAP Air Portugal,TA775,NBK,BNH,2025-07-15 14:13:35,2025-07-15 17:17:35,184,55.51
299,Swiss,SW112,XNP,LSJ,2025-07-17 18:29:32,2025-07-17 19:33:32,64,235.3
300,British Airways,BR117,XDJ,DEJ,2025-06-11 12:41:02,2025-06-11 15:49:02,188,334.61
